make,model,year,vin,price,mileage,transmission,engine,color,fuel type,body style,description,image URLs,source link
Chevrolet,Bel Air,1957,0000000B57J127668,244000,43491,Manual,V8,Red,,car,"Gateway Classic Cars of Chicago is proud to present a classic icon of American automotive history, the 1957 Chevrolet Bel Air. This stunning vehicle is a testament to the golden era of car design, featuring a striking red exterior that captures attention and admiration wherever it goes. The vibrant hue is complemented by a matching red interior, creating a stylish aesthetic. Under the hood, this Bel Air is powered by a robust V8 engine, delivering the performance and power that enthusiasts have cherished for decades. Paired with a manual transmission, this vehicle offers an engaging driving experience that connects the driver to the road in a way that only a classic car can. Inside, the vehicle is equipped with a range of features designed to enhance comfort and convenience. The air conditioning system ensures a pleasant cabin environment, allowing you to enjoy the ride in comfort regardless of the weather outside. Power brakes and power steering provide ease of handling, making driving this classic car a smooth and enjoyable experience. The inclusion of power seats adds an element of luxury, allowing for effortless adjustments to find a good driving position. The interior of the Bel Air is adorned with durable vinyl, offering a practical yet stylish finish that complements the overall design. A tilt steering wheel is also featured, providing additional comfort and customization for the driver. Whether you're a collector or simply an admirer of classic cars, this Bel Air is sure to impress with its iconic design and thoughtful features. For more information, contact our Chicago showroom at (708) 444-4488 and be sure to check out our website with 100+ HD pictures and videos at GatewayClassicCars.com First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://gccvehiclemedia.s3.amazonaws.com/CHI/2660/images/watermarked/mobile480/1957-Chevrolet-Bel-Air.jpg,https://www.gatewayclassiccars.com/vehicle/chi/2660/1957-chevrolet-bel-air,
Chevrolet,Impala,1959,0000000F59A184835,218000,428,4L60E Automatic,6.2L V8,White,,car,"Gateway Classic Cars of San Antonio/Austin is excited to present this 1959 Chevrolet Impala. Finished in a crisp white exterior over a fully custom red leather interior, this Impala blends the unmistakable style of the late 1950s with modern performance and craftsmanship. Powering this build is a 6.2L V8 engine paired with a 4L60E automatic transmission, producing an estimated 500 horsepower as stated by the seller. The car underwent a four-year restoration, resulting in a striking combination of vintage design and updated engineering. This Impala features a range of performance upgrades and custom touches. It's equipped with an electronic air ride suspension for adjustable ride height and comfort, a 9-inch rear end, and a custom engine bay featuring a Champion Cooling aluminum radiator, Holley EFI, Hedman Hussler headers, and a Tru Trac air conditioning system. CPP power brakes and power steering provide modern drivability and confident control behind the wheel. The exterior retains much of its original charm, highlighted by original chrome as stated by the seller and refinished stainless steel that complement the clean body lines. It rides on Billet Specialties aluminum wheels wrapped in distinctive red sidewall performance tires that tie in beautifully with the car's interior color scheme. Inside, the Impala showcases a fully custom red leather interior and matching trunk upholstery, offering a cohesive and luxurious presentation. Power windows, air conditioning, and an AM/FM radio add comfort and convenience for cruising. This 1959 Chevrolet Impala represents a blend of classic American design and modern performance. With its detailed restoration, custom craftsmanship, and an estimated 500 horsepower stated by the seller, it stands as a remarkable interpretation of one of Chevrolet's most iconic models. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/SAN/1096/images/watermarked/mobile480/1959-Chevrolet-Impala.jpg,https://www.gatewayclassiccars.com/vehicle/san/1096/1959-chevrolet-impala,
Ford,Falcon,1963,0000003R17F162047,193000,58240,C4 3 speed Automatic,427 Aluminum Cobra Jet V8,Black,,car,"Gateway Classic Cars of San Antonio/Austin is excited to present this 1963 Ford Falcon. Finished in a sleek black exterior with a striking red interior, this Falcon is said to be a no-expense-spared custom build that blends classic Ford styling with serious performance upgrades. Under the hood, it's said to feature Ford's legendary 427 cubic inch SOHC ""Cammer"" V8 engine-an aluminum powerplant reportedly rated for 1000 horsepower but said to produce around 700 horsepower as it sits. Power is delivered through a C4 3-speed automatic transmission, offering smooth operation and precise control. Said to be built by Barillaro Speed Emporium, this Falcon's 427 engine reportedly includes an all-new aluminum block, heads, crank, and connecting rods, paired with dual Holley 600 CFM 4-barrel carburetors mounted on an aluminum intake manifold. Supporting components include an MSD distributor, blaster coil, and ignition wires for reliable spark delivery. Cooling is handled by a Be Cool aluminum radiator with twin electric fans, ensuring optimal temperature control during performance driving. This Falcon is said to feature a custom-built front A-arm and 4-link rear suspension with adjustable coilovers, complemented by Wilwood disc brakes on all four corners. Power is transferred through a Detroit Locker rear end, while the back end has been tubbed to accommodate wide Mickey Thompson Street S tires. Up front, it rides on Yokohama Avid tires, and all four corners feature custom Sprint aluminum wheels that enhance both stance and style. Inside, the red interior offers a purposeful and classic look with bucket seats, a Grant steering wheel, and a Hurst shifter. The cabin also includes seatbelts, a tilt steering wheel, and an AM radio for a period-correct touch. Exterior details include rechromed grille, headlight, and taillight bezels, adding a refined finish to this custom performance machine. This 1963 Ford Falcon represents a striking blend of craftsmanship, engineering, and heritage, said to be built with exceptional attention to detail and performance in mind. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/SAN/1097/images/watermarked/mobile480/1963-Ford-Falcon.jpg,https://www.gatewayclassiccars.com/vehicle/san/1097/1963-ford-falcon,
Chevrolet,Malibu,1964,0000045635L128661,190000,790,Automatic,V8,Green,,car,"Introducing a classic gem that embodies the spirit of the 1960s: the 1964 Chevrolet Malibu. This iconic vehicle is a testament to timeless design and American automotive craftsmanship. With its striking Meadow Green exterior, this Malibu captures attention and admiration wherever it goes. The vibrant color is complemented by a sleek black leather interior, offering a sophisticated and comfortable driving experience. One improvement made was the addition of custom aluminum trim on the roof. Under the hood, this Malibu is powered a 383ci small block stroker engine from BluePrint Engine backed by a 700R4 transmission to utilize an overdrive gear in combination with a Currie 9-inch rear end. It rides on a installed a QA1 coil-over suspension system. The vehicle is equipped with a range of features designed to enhance your driving pleasure. Enjoy the comfort of air conditioning, ensuring a pleasant journey in any weather. For entertainment on the road, a RetroSound head unit with JL Audio speakers was added. The original column was adapted to the auto trans, and Dakota Digital gauges replaced the originals. A set of 178-inch U.S. Mags Rambler wheels was installed. The performance tires ensure optimal traction and handling, making every drive a delight. Safety and convenience are prioritized with features such as power brakes and power steering, providing ease of control and peace of mind. The inclusion of radial tires further enhances the vehicle's stability and performance. Inside, the black leather interior offers a luxurious and inviting atmosphere. The seats are equipped with seatbelts, reflecting a commitment to safety. This 1964 Chevrolet Malibu is a remarkable blend of style, performance, and comfort, making it a standout choice for those who appreciate classic cars with modern conveniences. Whether you're a collector or simply someone who appreciates the beauty of vintage automobiles, this Malibu is sure to impress. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://gccvehiclemedia.s3.amazonaws.com/LVS/1430/images/watermarked/mobile480/1964-Chevrolet-Malibu.jpg,https://www.gatewayclassiccars.com/vehicle/lvs/1430/1964-chevrolet-malibu,
Ford,Mustang,1965,0000005F09C336912,182000,1681,5 Speed Manual,302 V8,Calypso Coral,,car,"Gateway Classic Cars of Charlotte is proud to digitally to present this stunning 1965 Ford Mustang GT350 Tribute, a true homage to the iconic muscle car era, boasting an eye-catching Calypso Coral exterior that is sure to turn heads wherever it goes. This classic beauty is powered by a robust 302 Windsor V8 engine, superbly paired with a 5-speed manual transmission, offering an exhilarating driving experience that captures the essence of American automotive history. Step inside to find a sleek black interior that complements the vibrant exterior. The cabin is equipped with modern conveniences such as air conditioning, ensuring comfort on those warm cruising days. The AM/FM radio provides entertainment for your journeys, while the vinyl interior and tilt steering wheel add to the car's classic charm and driving pleasure. This Mustang GT350 Tribute is not just about looks and performance; it also features custom wheels and radial tires that enhance its road presence and handling. Safety is addressed with power brakes and seatbelts, providing peace of mind as you enjoy the ride. The 389:1 gear ratio further enhances the driving dynamics, making this car a joy to drive on both city streets and open highways. Having been showcased in 11 car shows, this Mustang has garnered several awards, a testament to its appeal and the admiration it commands among enthusiasts and judges alike. Whether you're a collector or a classic car enthusiast, this 1965 Ford Mustang GT350 Tribute offers a unique opportunity to own a piece of automotive history that combines classic style with modern features. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://gccvehiclemedia.s3.amazonaws.com/CHA/746/images/watermarked/mobile480/1965-Ford-Mustang.jpg,https://www.gatewayclassiccars.com/vehicle/cha/746/1965-ford-mustang,
Chevrolet,Camaro,1969,0000124379N620263,175000,1420,Overdrive  Automatic,LS3 supercharged  V8,Black,,car,"Gateway Classic Cars of Las Vegas is excited to digitally present this iconic 1969 Chevrolet Camaro RS, a classic masterpiece that seamlessly blends vintage charm with modern performance enhancements. This striking vehicle boasts a sleek black exterior that exudes timeless elegance, complemented by a sophisticated black interior. Under the hood lies a powerful LS3 supercharged V8 engine, delivering an exhilarating driving experience that is further enhanced by an overdrive 4L80 automatic transmission. This combination ensures a smooth and responsive ride, making every journey a memorable one. Inside, the Camaro RS offers a range of features designed to enhance comfort and convenience. The air conditioning system provides a refreshing atmosphere, ensuring a pleasant drive regardless of the weather. The TMI leather interior adds a touch of classic style, while the tilt steering wheel allows for personalized comfort and control. Modern amenities such as power windows, power locks, and power steering offer ease of use, making this classic car a joy to drive. The car features a LS3 6.2L packaged with a Vortec V3 SC1 blower! TMI custom seats, 18"" wheels and tires, 4 link suspension with adjustable coil over suspension and flow master exhaust this this has all the GO you want and the WOAH on the other side is handled by Wilwood brake. The exterior of the Camaro RS is equipped with 18"" aluminum wheels and performance tires, providing both aesthetic appeal and enhanced road handling capabilities. Safety is also a priority, with features like power brakes and seatbelts ensuring peace of mind on every drive. while the am/fm kenwood stereo with 2 JL audio 10"" sub woofers provides entertainment options for those long drives. This 1969 Chevrolet Camaro RS is a remarkable blend of classic design and modern functionality, making it a standout choice for enthusiasts and collectors alike. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/LVS/1398/images/watermarked/mobile480/1969-Chevrolet-Camaro.jpg,https://www.gatewayclassiccars.com/vehicle/lvs/1398/1969-chevrolet-camaro,
Chevrolet,Pro Street,1957,000000VB57N170904,157000,1,400 Turbo Automatic,468 Twin Turbo V8,Blue,,car,"Gateway Classic Cars of Louisville is proud to present this stunning 1957 Chevrolet Pro Street! Few cars command attention like a Pro Street '57 Chevy, and this example stands among the finest. From its mirror-finish turquoise and white paint to the seamlessly detailed, color-matched chassis, every inch of this build speaks to professional craftsmanship and scrupulous execution. This is the kind of machine that stops shows and dominates streets - equal parts polished beauty and pure brute force. Powertrain Beneath the hood lies a 468 cubic-inch Chevrolet big block V8 that's been twin-turbocharged for jaw-dropping performance. Feeding this powerhouse is a Pro Xtreme Series Velocity intake and a Holley Dominator carburetor tuned by CSU, creating a seamless balance of efficiency and explosive power. Supporting systems include dual turbochargers with heat-wrapped plumbing, an AEM and Aeromotive fuel management system, Allstar Performance breather setup, and JGS Precision wastegates ensuring smooth and reliable boost control. A large aluminum front-mounted intercooler, polished aluminum piping, and braided AN lines complete this competition-grade setup - a visual and mechanical masterpiece. Transmission & Chassis All that power is routed through a Turbo 400 automatic transmission with a B&M ratchet shifter, sending torque to a Ford 9-inch rear end supported by a four-link coil-over suspension. The chassis has been fully boxed, reinforced, and color-matched for exceptional rigidity and presentation. The result is a driveline combination beloved by Pro Street enthusiasts - durable, responsive, and capable of handling immense horsepower with confidence. Interior Inside, the turquoise-and-gray custom interior blends race-ready design with refined craftsmanship. High-back bucket seats and a full roll cage set the tone, while AutoMeter and AEM gauges keep vital stats within easy view. The B&M shifter with line-lock anchors the cockpit, surrounded by upholstery and detail work - even the rear section is finished to the same high standard. Exterior & Undercarriage The exterior showcases a show-quality turquoise and white two-tone finish, polished to a mirror-like sheen. Underneath, the detailed and painted undercarriage mirrors the body's exemplary, featuring smooth frame rails, a polished exhaust system, and that striking aluminum intercooler peeking from the front. Polished wheels wrapped in wide drag radials complete the unmistakable Pro Street stance - aggressive, clean, and absolutely head-turning. Summary This 1957 Chevrolet Pro Street represents the top-tier both worlds - uncompromising performance and masterful presentation. Its twin-turbo 468 Big Block, Turbo 400 transmission, and race-prepped chassis make it a true powerhouse, while its outstanding finish and craftsmanship make it a showstopper. Whether on display, at the strip, or simply out for a cruise, this '57 delivers pure excitement in every sense. This 1957 Chevrolet Pro Street is listed by our Louisville showroom and can be viewed in greater detail including 100+ HD pictures and HD video at www.gatewayclassiccars.com . For additional information, please call our knowledgeable staff or email us at Louisville@ gatewayclassiccars.com - Our Louisville Showroom is located at 13576 Blue Lick Rd. Ste A, Memphis, IN 47143. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/LOU/3291/images/watermarked/mobile480/1957-Chevrolet-Pro-Street.jpg,https://www.gatewayclassiccars.com/vehicle/lou/3291/1957-chevrolet-pro-street,
Chevrolet,150,1957,0000000A57K162947,138000,3011,Automatic,V8,Red,,car,"Gateway Classic Cars of Tulsa is proud to digitally represent this custom 1957 Chevrolet 150. This classic is a striking example of automotive history. With its eye-catching red and pearl white exterior, this vehicle commands attention and admiration wherever it goes. The bold color is complemented by custom Foose wheels that enhance its timeless appeal, making it a standout choice for enthusiasts and collectors alike. Step inside to discover a luxurious tan leather interior done by Chuck Roland Custom Interiors that exudes sophistication and comfort. The leather seats are equipped with power adjustments and lumbar support, ensuring a comfortable ride for both driver and passengers. The inclusion of seatbelts adds an extra layer of safety, while the tilt steering wheel offers customizable comfort for drivers of all sizes. Under the hood lies a powerful Blueprint 383 Stroker V8 engine paired with an automatic 700R4 transmission, delivering a driving experience that is both exhilarating and smooth. This Chevrolet 150 is equipped with power steering and power brakes, providing enhanced control and ease of handling. For those who appreciate modern conveniences, this classic sedan is fitted with Vintage air conditioning to keep the cabin cool and comfortable. The entertainment system includes an AM/FM radio and a 6 disc CD player, allowing you to enjoy your favorite tunes as you cruise down the road. This 1957 Chevrolet 150 Utility Sedan is a remarkable fusion of classic design and contemporary features, making it a truly unique vehicle that offers both style and substance. Whether you're a collector or simply someone who appreciates the finer things in life, this sedan is sure to impress. Other Highlights of this beauty: Art Morrison Frame Coil-Over Suspension AGR Rack and Pinion 4 Link Rear Suspension with narrowed 9"" Rear Art Morrison Jet Coated Headers And much more! The 1957 Chevrolet 150 is listed by our Tulsa Showroom and can be viewed in greater detail including 100+ HD pictures and an HD video at www.GatewayClassicCars.com . For additional information, please call our knowledgeable staff. Our Tulsa Showroom is located at 10010 E. 71 Street, Tulsa, OK 74133. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/TUL/671/images/watermarked/mobile480/1957-Chevrolet-150.jpg,https://www.gatewayclassiccars.com/vehicle/tul/671/1957-chevrolet-150,
Cadillac,Series 62,1960,0000000060F066375,138000,28621,Four speed  Automatic,390 CID V8,Red,,car,"Gateway Classic Cars of Fort Lauderdale is proud to present this 1960 Cadillac Series 62 Convertible. This stunning vehicle captures the essence of an era defined by elegance and innovation. With its striking red exterior, this Cadillac is a head-turner, embodying the bold and vibrant spirit of the 1960s. The convertible top allows for an open-air driving experience for enjoying sunny days and starry nights. Step inside to discover a beautifully crafted red and white vinyl interior that complements the exterior's vivid hue. The cabin is designed for comfort and style, offering a spacious and inviting atmosphere for both driver and passengers. The dashboard features an AM radio, providing a touch of nostalgia and a connection to the golden age of motoring. Under the hood lies a powerful 390 CID V8 engine, delivering the performance and reliability that Cadillac is renowned for. Paired with a four-speed automatic transmission, this vehicle offers a smooth and effortless driving experience. The power steering and power brakes enhance maneuverability and control, ensuring a comfortable ride whether cruising down the highway or navigating city streets. This Cadillac is equipped with radial tires and classic white wall accents, adding to its timeless appeal. The combination of these features not only enhances the vehicle's aesthetic but also contributes to a smooth and stable ride. The 1960 Cadillac Series 62 Convertible is a testament to the craftsmanship and attention to detail that defined an era, making it a prized addition to any collection or a delightful choice for those seeking a piece of automotive history. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/FTL/2117/images/watermarked/mobile480/1960-Cadillac-Series-62.jpg,https://www.gatewayclassiccars.com/vehicle/ftl/2117/1960-cadillac-series-62,
Pontiac,GTO,1965,0000237675P141857,132000,3273,5-speed Tremec Manual,389 with 3x2 BBL V8,Montero Red,,car,"Gateway Classic Cars Fort Lauderdale is proud to present this 1965 Pontiac GTO Convertible, resplendent in its striking Montero Red exterior. This vehicle is a testament to the era of high-performance automobiles, combining style, power, and a touch of nostalgia. Under the hood, it boasts a formidable 389 cubic inch V8 engine equipped with a 3x2 BBL carburetor setup, delivering an impressive 360 horsepower at 5, 200 rpm. This powerhouse is paired with a 5-speed Tremec manual transmission, offering an engaging and dynamic driving experience that enthusiasts will appreciate. The exterior of this GTO is complemented by sleek aluminum wheels, enhancing its classic appeal while ensuring a smooth ride. The manual convertible top allows for an open-air driving experience, superb for enjoying sunny days and scenic drives. The Montero Red paintwork is both bold and timeless, making a statement wherever this vehicle goes. Inside, the black interior provides a sophisticated contrast to the vibrant exterior. The cabin is equipped with an AM/FM radio, offering entertainment options for those long drives. Custom wheels add a personalized touch to this already distinctive vehicle. Safety is addressed with the inclusion of seatbelts, a crucial feature for peace of mind on the road. This 1965 Pontiac GTO Convertible is more than just a car; it is a piece of automotive history that captures the spirit of a bygone era. Its combination of power, style, and classic features makes it a standout choice for those who appreciate the legacy of American muscle cars. Whether you're cruising down the highway or showcasing it at a car event, this GTO is sure to turn heads and evoke admiration. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://gccvehiclemedia.s3.amazonaws.com/FTL/2069/images/watermarked/mobile480/1965-Pontiac-GTO.jpg,https://www.gatewayclassiccars.com/vehicle/ftl/2069/1965-pontiac-gto,
